,Mkt-RF,SMB,HML,RF
20160906,0.26,0.06,-0.53,0.001
20160907,0.09,0.61,0.03,0.001
20160908,-0.18,-0.02,0.58,0.001
20160909,-2.47,-0.55,0.3,0.001
20160912,1.44,0,-0.47,0.001
20160913,-1.48,-0.25,-0.47,0.001
20160914,-0.08,0.12,-0.82,0.001
20160915,1.07,0.31,-0.32,0.001
20160916,-0.36,0.32,-0.46,0.001
20160919,0.05,0.39,0.16,0.001
20160920,-0.02,-0.21,-0.52,0.001
20160921,1.12,0.14,0.33,0.001
20160922,0.7,0.84,-0.06,0.001
20160923,-0.6,-0.1,-0.2,0.001
20160926,-0.88,-0.22,-0.35,0.001
20160927,0.64,-0.07,-0.52,0.001
20160928,0.56,0.21,1.1,0.001
20160929,-0.98,-0.41,0.55,0.001
20160930,0.88,0.37,0.35,0.001
20161003,-0.26,0.02,-0.21,0.001
20161004,-0.46,-0.01,0.17,0.001
20161005,0.58,0.29,0.79,0.001
20161006,-0.06,-0.27,0.37,0.001
